"x","y","th","k","s"
30.8549,26.3803,-2.97643,0.0208714,32.3093
30.9417,26.3948,-2.9748,0.0184153,32.3973
31.0287,26.4095,-2.97338,0.0161615,32.4855
31.1158,26.4243,-2.97213,0.014108,32.5738
31.203,26.4392,-2.97105,0.0122506,32.6623
31.2903,26.4542,-2.97011,0.0105825,32.751
31.3779,26.4694,-2.9693,0.00909527,32.8399
31.4657,26.4847,-2.9686,0.00777922,32.929
31.5537,26.5,-2.96801,0.00662362,33.0183
31.6419,26.5155,-2.96751,0.00561704,33.1079
31.7304,26.5311,-2.96708,0.00474764,33.1977
31.8191,26.5467,-2.96672,0.00400328,33.2878
31.9081,26.5624,-2.96641,0.00337174,33.3782
31.9974,26.5782,-2.96615,0.00284082,33.4689
32.087,26.5941,-2.96594,0.00239839,33.5598
32.1769,26.6101,-2.96575,0.00203251,33.6511
32.267,26.6261,-2.96559,0.00173143,33.7427
32.3575,26.6422,-2.96545,0.00148364,33.8346
32.4484,26.6584,-2.96534,0.00127791,33.9269
32.5395,26.6746,-2.96523,0.0011033,34.0195
32.6311,26.6909,-2.96515,0.000950019,34.1125
32.723,26.7073,-2.96507,0.000813015,34.2058
32.8153,26.7238,-2.965,0.000690918,34.2996
32.9081,26.7403,-2.96495,0.000582783,34.3939
33.0013,26.757,-2.9649,0.000487694,34.4886
33.0951,26.7737,-2.96486,0.000404752,34.5838
33.1893,26.7905,-2.96483,0.000333061,34.6795
33.2841,26.8075,-2.96481,0.000271734,34.7758
33.3794,26.8245,-2.96479,0.000219879,34.8726
33.4753,26.8416,-2.96477,0.00017661,34.97
33.5718,26.8589,-2.96475,0.000141049,35.0681
33.669,26.8762,-2.96474,0.00011233,35.1668
33.7668,26.8937,-2.96473,8.96038e-05,35.2661
33.8652,26.9113,-2.96473,7.20439e-05,35.3661
33.9643,26.929,-2.96472,5.88563e-05,35.4668
34.064,26.9468,-2.96472,4.928e-05,35.5681
34.1644,26.9648,-2.96471,4.25833e-05,35.67
34.2654,26.9828,-2.96471,3.80817e-05,35.7727
34.367,27.001,-2.9647,3.51251e-05,35.8759
34.4692,27.0193,-2.9647,3.30974e-05,35.9797
34.5719,27.0376,-2.9647,3.14416e-05,36.084
34.6751,27.0561,-2.96469,2.98311e-05,36.1889
34.7788,27.0746,-2.96469,2.82282e-05,36.2942
34.8828,27.0932,-2.96469,2.66433e-05,36.3998
34.9871,27.1118,-2.96469,2.50915e-05,36.5058
35.0916,27.1305,-2.96468,2.35759e-05,36.6119
35.1962,27.1492,-2.96468,2.21043e-05,36.7182
35.3009,27.1679,-2.96468,2.06742e-05,36.8245
35.4055,27.1866,-2.96468,1.92928e-05,36.9308
35.5099,27.2053,-2.96467,1.79606e-05,37.0369
35.6141,27.2239,-2.96467,1.66797e-05,37.1427
35.7179,27.2425,-2.96467,1.54424e-05,37.2481
35.8212,27.261,-2.96467,1.42465e-05,37.3531
35.924,27.2793,-2.96467,1.30981e-05,37.4575
36.0261,27.2976,-2.96467,1.19999e-05,37.5613
36.1275,27.3157,-2.96467,1.09387e-05,37.6642
36.228,27.3337,-2.96466,9.92771e-06,37.7663
36.3276,27.3515,-2.96466,8.95288e-06,37.8675
36.4261,27.3691,-2.96466,8.02021e-06,37.9676
36.5236,27.3866,-2.96466,7.15699e-06,38.0667
36.6199,27.4038,-2.96466,6.33294e-06,38.1645
36.715,27.4208,-2.96466,5.6042e-06,38.2611
36.8089,27.4376,-2.96466,4.90782e-06,38.3564
36.9014,27.4541,-2.96466,4.2791e-06,38.4504
36.9926,27.4704,-2.96466,3.66459e-06,38.5431
37.0824,27.4865,-2.96466,3.1419e-06,38.6343
37.1708,27.5023,-2.96466,2.6264e-06,38.7241
37.2579,27.5178,-2.96466,2.22138e-06,38.8126
37.3435,27.5332,-2.96466,1.76319e-06,38.8996
37.4278,27.5482,-2.96466,1.34709e-06,38.9852
37.5107,27.563,-2.96466,1.0698e-06,39.0694
37.5922,27.5776,-2.96466,8.95654e-07,39.1522
37.6723,27.592,-2.96466,6.49423e-07,39.2336
37.7512,27.606,-2.96466,6.65907e-07,39.3137
37.8287,27.6199,-2.96466,0,39.3924
37.9049,27.6335,-2.96466,0,39.4699
37.9799,27.647,-2.96466,0,39.5461
38.0537,27.6601,-2.96466,7.3473e-07,39.621
38.1263,27.6731,-2.96466,7.52407e-07,39.6948
38.1978,27.6859,-2.96466,0,39.7674
38.2682,27.6985,-2.96466,-0,39.839
38.3376,27.7109,-2.96466,-8.05765e-07,39.9094
38.4059,27.7231,-2.96466,-0,39.9788
38.4733,27.7352,-2.96466,-8.41146e-07,40.0473
38.5397,27.747,-2.96466,-1.71728e-06,40.1147
38.6053,27.7588,-2.96466,-3.61161e-06,40.1813
38.6699,27.7703,-2.96466,-6.56222e-06,40.247
38.7338,27.7817,-2.96466,-1.08412e-05,40.3119
38.7969,27.793,-2.96466,-1.67485e-05,40.376
38.8593,27.8042,-2.96466,-2.46244e-05,40.4394
38.921,27.8152,-2.96467,-3.47925e-05,40.502
38.982,27.8261,-2.96467,-4.7588e-05,40.564
39.0424,27.8369,-2.96467,-6.33558e-05,40.6254
39.1022,27.8476,-2.96468,-8.24289e-05,40.6862
39.1615,27.8582,-2.96468,-0.000105164,40.7464
39.2203,27.8687,-2.96469,-0.000131891,40.8061
