"x","y","th","k","s"
38.3376,27.7109,0.176934,-8.05765e-07,39.9094
38.4059,27.7231,0.176934,-0,39.9788
38.4733,27.7352,0.176934,-8.41146e-07,40.0473
38.5397,27.747,0.176934,-1.71728e-06,40.1147
38.6053,27.7588,0.176933,-3.61161e-06,40.1813
38.6699,27.7703,0.176933,-6.56222e-06,40.247
38.7338,27.7817,0.176932,-1.08412e-05,40.3119
38.7969,27.793,0.176931,-1.67485e-05,40.376
38.8593,27.8042,0.17693,-2.46244e-05,40.4394
38.921,27.8152,0.176928,-3.47925e-05,40.502
38.982,27.8261,0.176925,-4.7588e-05,40.564
39.0424,27.8369,0.176921,-6.33558e-05,40.6254
39.1022,27.8476,0.176916,-8.24289e-05,40.6862
39.1615,27.8582,0.176909,-0.000105164,40.7464
39.2203,27.8687,0.176902,-0.000131891,40.8061
39.2786,27.8791,0.176892,-0.000162934,40.8653
39.3365,27.8895,0.17688,-0.000198606,40.9241
39.3939,27.8998,0.176866,-0.000239196,40.9825
39.451,27.91,0.17685,-0.000284977,41.0405
39.5078,27.9201,0.176831,-0.000336215,41.0982
39.5643,27.9302,0.176808,-0.000397716,41.1556
39.6205,27.9403,0.176779,-0.00050713,41.2127
39.6765,27.9503,0.176737,-0.000736254,41.2696
39.7323,27.9602,0.176671,-0.00116327,41.3262
39.7879,27.9702,0.176566,-0.0018674,41.3827
39.8434,27.9801,0.176401,-0.002928,41.4391
39.8987,27.9899,0.176153,-0.00442389,41.4953
39.954,27.9998,0.175792,-0.00643267,41.5514
40.0092,28.0096,0.175286,-0.00903029,41.6075
40.0643,28.0193,0.174598,-0.0122907,41.6635
40.1194,28.029,0.173687,-0.0162859,41.7194
40.1745,28.0387,0.172507,-0.0210858,41.7754
40.2297,28.0483,0.171009,-0.0267586,41.8313
40.2848,28.0578,0.16914,-0.0333714,41.8873
40.34,28.0673,0.166843,-0.0409907,41.9433
40.3953,28.0766,0.164057,-0.0496833,41.9994
40.4507,28.0857,0.160715,-0.0595174,42.0555
40.5061,28.0947,0.15675,-0.0705633,42.1117
40.5617,28.1035,0.152085,-0.0828951,42.1679
40.6173,28.112,0.146644,-0.0965915,42.2242
40.6731,28.1203,0.140343,-0.11173,42.2806
40.729,28.1282,0.133101,-0.128293,42.337
40.7849,28.1357,0.124844,-0.146101,42.3935
40.841,28.1427,0.115515,-0.164934,42.45
40.8972,28.1492,0.105066,-0.184575,42.5066
40.9536,28.1552,0.0934644,-0.204806,42.5632
41.01,28.1605,0.0806881,-0.225404,42.6199
41.0665,28.165,0.0667293,-0.24614,42.6766
41.1231,28.1688,0.0515934,-0.266775,42.7333
41.1798,28.1717,0.0352999,-0.287056,42.7901
41.2365,28.1737,0.0178826,-0.306719,42.8468
41.2933,28.1748,-0.000609502,-0.325487,42.9036
41.3501,28.1747,-0.020112,-0.343071,42.9605
41.407,28.1736,-0.0405445,-0.359174,43.0173
41.4638,28.1713,-0.061811,-0.373497,43.0742
41.5207,28.1678,-0.0837995,-0.385744,43.1312
41.5775,28.163,-0.106382,-0.39563,43.1882
41.6343,28.1569,-0.129417,-0.402891,43.2454
41.6911,28.1495,-0.152749,-0.407287,43.3026
41.7478,28.1408,-0.176208,-0.408613,43.3599
41.8043,28.1307,-0.199616,-0.406707,43.4174
41.8608,28.1193,-0.222789,-0.40154,43.475
41.9172,28.1065,-0.245558,-0.393388,43.5328
41.9734,28.0924,-0.267773,-0.382653,43.5908
42.0295,28.0771,-0.289306,-0.369737,43.6489
42.0854,28.0604,-0.310047,-0.355024,43.7073
42.1411,28.0426,-0.329906,-0.338873,43.7658
42.1966,28.0236,-0.34881,-0.321618,43.8245
42.252,28.0034,-0.366702,-0.303558,43.8833
42.3071,27.9823,-0.383542,-0.284959,43.9424
42.3619,27.9601,-0.399302,-0.266056,44.0015
42.4166,27.9371,-0.413966,-0.247056,44.0608
42.4709,27.9132,-0.42753,-0.228138,44.1202
42.5251,27.8885,-0.44,-0.209459,44.1797
42.579,27.8631,-0.451392,-0.191162,44.2393
42.6326,27.8371,-0.461732,-0.173377,44.2989
42.686,27.8106,-0.471052,-0.156227,44.3586
42.7392,27.7835,-0.479395,-0.139834,44.4182
42.7921,27.756,-0.486812,-0.124324,44.4779
42.8449,27.7281,-0.493361,-0.109826,44.5376
42.8974,27.6998,-0.499113,-0.0964823,44.5972
42.9497,27.6713,-0.504144,-0.0844165,44.6568
43.0019,27.6425,-0.50853,-0.0736296,44.7164
43.0539,27.6135,-0.512345,-0.0640348,44.7759
43.1058,27.5843,-0.515655,-0.0555479,44.8355
43.1577,27.5549,-0.518522,-0.0480934,44.8951
43.2095,27.5254,-0.521005,-0.0416012,44.9547
43.2613,27.4956,-0.523157,-0.0360048,45.0145
43.3131,27.4657,-0.525028,-0.0312381,45.0743
43.365,27.4357,-0.526664,-0.0272347,45.1343
43.417,27.4054,-0.528106,-0.0239267,45.1944
43.4692,27.375,-0.529392,-0.0212438,45.2548
43.5215,27.3444,-0.530555,-0.0191137,45.3155
43.5742,27.3135,-0.531624,-0.0174625,45.3765
43.6271,27.2824,-0.532622,-0.0162151,45.4379
43.6803,27.251,-0.533571,-0.0152963,45.4997
43.7339,27.2193,-0.534486,-0.014632,45.5619
43.7879,27.1873,-0.535379,-0.0141504,45.6247
43.8424,27.155,-0.536256,-0.0137831,45.6881
43.8975,27.1223,-0.537123,-0.0134662,45.7521
43.953,27.0892,-0.537977,-0.0131408,45.8168
44.0092,27.0557,-0.538816,-0.0127566,45.8822
44.066,27.0218,-0.539635,-0.0122926,45.9483
44.1234,26.9874,-0.540427,-0.0117593,46.0153
44.1816,26.9525,-0.54119,-0.0111718,46.0831
44.2405,26.9171,-0.541919,-0.010544,46.1518
44.3001,26.8812,-0.542612,-0.00988843,46.2214
44.3606,26.8447,-0.543267,-0.0092164,46.292
44.4218,26.8077,-0.543883,-0.00853776,46.3636
44.484,26.7701,-0.544458,-0.0078612,46.4362
44.547,26.732,-0.544992,-0.00719421,46.5099
44.6109,26.6932,-0.545484,-0.00654319,46.5846
44.6757,26.6539,-0.545936,-0.00591358,46.6605
44.7415,26.6139,-0.546348,-0.00530991,46.7374
44.8083,26.5733,-0.546721,-0.00473593,46.8156
44.8761,26.532,-0.547057,-0.00419466,46.895
44.945,26.4901,-0.547356,-0.0036885,46.9756
45.0149,26.4475,-0.547622,-0.00321929,47.0574
45.0858,26.4042,-0.547856,-0.00278839,47.1406
45.1579,26.3602,-0.54806,-0.0023967,47.2251
45.2312,26.3155,-0.548237,-0.00204477,47.3109
45.3056,26.2701,-0.548389,-0.00173274,47.3981
45.3813,26.2239,-0.548519,-0.00145947,47.4867
45.4581,26.1769,-0.54863,-0.00122168,47.5768
45.5363,26.1291,-0.548724,-0.00101567,47.6684
45.6157,26.0805,-0.548803,-0.000838055,47.7615
45.6965,26.0312,-0.548868,-0.000685688,47.8562
45.7786,25.9809,-0.548922,-0.000555672,47.9525
45.8622,25.9298,-0.548966,-0.000445325,48.0504
45.9471,25.8779,-0.549002,-0.000352171,48.15
46.0335,25.825,-0.54903,-0.000273929,48.2512
46.1213,25.7713,-0.549051,-0.000208503,48.3542
46.2106,25.7167,-0.549067,-0.000153983,48.4588
46.3013,25.6612,-0.549079,-0.000108624,48.5652
46.3935,25.6048,-0.549087,-7.08502e-05,48.6733
46.4872,25.5475,-0.549091,-3.92359e-05,48.7831
46.5822,25.4893,-0.549093,-1.24971e-05,48.8945
46.6787,25.4303,-0.549091,1.05279e-05,49.0076
46.7765,25.3704,-0.549088,3.08663e-05,49.1222
46.8756,25.3098,-0.549082,4.94771e-05,49.2384
46.976,25.2484,-0.549074,6.72233e-05,49.3561
47.0775,25.1863,-0.549064,8.49053e-05,49.4751
47.1801,25.1235,-0.549051,0.000103118,49.5954
47.2837,25.0601,-0.549037,0.000121843,49.7169
47.3882,24.9962,-0.549019,0.000140771,49.8393
47.4934,24.9318,-0.548999,0.000159613,49.9627
47.5992,24.8671,-0.548977,0.000178113,50.0868
47.7056,24.802,-0.548953,0.000196027,50.2114
47.8122,24.7368,-0.548926,0.000213105,50.3364
47.9191,24.6715,-0.548897,0.000229078,50.4617
48.0259,24.6061,-0.548867,0.000243638,50.587
48.1327,24.5408,-0.548835,0.000256419,50.7121
48.2392,24.4757,-0.548802,0.000266982,50.8369
48.3453,24.4108,-0.548768,0.000274791,50.9612
48.4508,24.3463,-0.548733,0.000279195,51.0849
48.5556,24.2822,-0.548699,0.000279396,51.2078
48.6596,24.2187,-0.548666,0.000274432,51.3296
48.7626,24.1557,-0.548634,0.000263145,51.4504
48.8646,24.0934,-0.548605,0.000244159,51.5699
48.9654,24.0318,-0.54858,0.000215856,51.6881
49.065,23.9709,-0.548559,0.000176361,51.8048
49.1632,23.9108,-0.548545,0.000123547,51.9199
49.2601,23.8516,-0.548539,5.5252e-05,52.0335
49.3557,23.7932,-0.548542,-2.94635e-05,52.1455
49.4498,23.7357,-0.548556,-0.000130106,52.2558
49.5426,23.679,-0.548583,-0.000245602,52.3645
49.634,23.6232,-0.548623,-0.000374377,52.4716
49.724,23.5681,-0.548677,-0.00051426,52.5772
49.8128,23.5138,-0.548745,-0.000662421,52.6812
49.9005,23.4603,-0.548828,-0.000815345,52.7839
49.9869,23.4074,-0.548926,-0.00096884,52.8853
50.0724,23.3551,-0.549037,-0.00111811,52.9855
50.1569,23.3034,-0.549161,-0.00125785,53.0846
50.2406,23.2522,-0.549296,-0.00138245,53.1827
50.3236,23.2014,-0.549441,-0.00148616,53.28
50.4059,23.151,-0.549591,-0.00156335,53.3765
50.4878,23.1008,-0.549745,-0.00160876,53.4726
50.5693,23.0509,-0.5499,-0.00161776,53.5681
50.6505,23.0011,-0.550051,-0.0015865,53.6634
50.7316,22.9514,-0.550194,-0.0015121,53.7585
50.8127,22.9016,-0.550327,-0.00139273,53.8537
50.8939,22.8518,-0.550444,-0.0012276,53.9489
50.9752,22.8019,-0.550541,-0.00101704,54.0443
51.0569,22.7518,-0.550615,-0.000764669,54.1401
51.1389,22.7014,-0.550661,-0.000478412,54.2364
51.2214,22.6508,-0.550677,-0.000167044,54.3332
51.3044,22.5998,-0.550661,0.000161019,54.4306
51.388,22.5484,-0.550612,0.000497941,54.5287
51.4724,22.4967,-0.550529,0.000836603,54.6277
51.5574,22.4445,-0.550412,0.00117068,54.7274
51.6432,22.3918,-0.550261,0.00149468,54.8281
51.7298,22.3387,-0.550077,0.00180391,54.9297
51.8172,22.2851,-0.549861,0.00209446,55.0323
51.9055,22.231,-0.549615,0.00236315,55.1358
51.9947,22.1763,-0.549341,0.00260739,55.2405
52.0848,22.1212,-0.549041,0.00282517,55.3461
52.1758,22.0655,-0.548717,0.00301492,55.4528
52.2678,22.0093,-0.548374,0.00317543,55.5605
52.3606,21.9526,-0.548012,0.00330577,55.6693
52.4543,21.8954,-0.547637,0.0034052,55.7791
52.5489,21.8377,-0.54725,0.0034731,55.8899
52.6444,21.7795,-0.546856,0.00350889,56.0017
52.7407,21.7209,-0.546459,0.00351202,56.1144
52.8378,21.6618,-0.546061,0.00348294,56.2281
52.9356,21.6024,-0.545668,0.00342483,56.3426
53.0342,21.5425,-0.545281,0.00334163,56.4579
53.1334,21.4823,-0.544905,0.00323683,56.574
53.2333,21.4218,-0.54454,0.00311346,56.6907
53.3337,21.361,-0.54419,0.00297411,56.8081
53.4346,21.2999,-0.543857,0.002821,56.926
53.5359,21.2387,-0.543542,0.00265598,57.0445
53.6376,21.1772,-0.543246,0.00248061,57.1633
53.7397,21.1156,-0.542972,0.00229614,57.2825
53.8419,21.0539,-0.542721,0.0021036,57.4019
53.9443,20.9921,-0.542493,0.00190376,57.5215
